ceap,sexe,ages,mean
NA,M,"[68, 56, 42, 55, 51, 21, 49, 47, 50, 42, 51, 62, 43, 35, 45, 82, 36, 56, 68, 82, 19, 73, 60, 52, 36, 58, 75, 64, 17, 59, 58, 29, 54, 75, 59, 43, 36, 60, 49, 62, 63, 57, 32, 51, 51, 48, 48, 76, 48, 73, 55, 60]",52
NA,F,"[67, 48, 48, 26, 56, 77, 80, 78, 43, 72, 60, 88, 80, 82, 41, 54, 43, 44, 29, 77, 18, 54, 34, 74, 77, 63, 73, 32, 76, 63, 40, 47, 21, 52, 47, 44, 46, 54, 56, 69, 51, 56, 73, 34, 62, 84, 76, 44, 71, 81, 45, 50, 76]",57
C0,M,"[52, 58, 62, 74, 56, 54, 51, 43, 43, 43, 74, 55, 53, 61, 62, 82, 46, 73, 58, 77, 66, 68, 28, 53, 52, 81, 31, 19, 50, 63, 67]",56
C0,F,"[50, 35, 52, 60, 36, 34, 75, 72, 34, 76, 53, 54, 81, 61, 67, 60, 72, 68, 75, 62, 32, 30, 43, 29, 78, 30, 41, 68, 64, 57, 46, 32, 52, 72, 81, 61]",55
C1,M,"[77, 44, 61, 64, 25]",54
C1,F,"[52, 46, 50, 50, 63, 60]",53
C2,M,"[52, 58, 62, 74, 56, 53, 46, 54, 51, 43, 43, 43, 74, 55, 24, 61, 70, 70, 53, 43, 61, 61, 62, 82, 46, 29, 29, 73, 59, 58, 77, 58, 66, 68, 28, 53, 52, 72, 81, 31, 19, 50, 63, 67]",55
C2,F,"[54, 54, 76, 76, 37, 37, 50, 69, 69, 35, 52, 60, 36, 34, 75, 72, 34, 76, 53, 54, 81, 81, 70, 61, 35, 67, 60, 71, 72, 68, 75, 62, 63, 30, 43, 29, 78, 30, 41, 68, 64, 57, 46, 32, 31, 31, 52, 72, 63, 35, 35, 81, 80, 61]",56
C3,M,"[54, 54, 73, 73, 47, 63, 66, 64, 79, 79, 65, 65, 76, 70, 70, 42, 42, 60, 60, 53, 53, 57, 62, 47, 47, 74, 49, 53, 24, 81, 81, 61, 78, 64, 57, 57, 36, 85, 85, 52, 52, 52, 52, 62, 67, 67, 82, 75, 75, 69, 63, 63, 29, 29, 73, 59, 58, 17, 75, 70, 70, 49, 49, 60, 69, 69, 76, 73, 64, 50, 50, 75, 75, 70, 70, 31, 49, 52, 19, 43, 77, 77, 48, 48, 58, 58, 47, 25, 75, 67, 75, 75, 68]",60
C3,F,"[51, 55, 55, 77, 77, 62, 62, 87, 66, 66, 45, 64, 64, 76, 76, 37, 37, 63, 63, 50, 52, 52, 42, 42, 72, 72, 42, 42, 14, 14, 60, 37, 37, 52, 52, 34, 34, 38, 38, 37, 37, 50, 62, 58, 58, 78, 59, 59, 62, 62, 46, 46, 64, 64, 50, 73, 56, 52, 52, 50, 76, 53, 54, 54, 21, 75, 75, 56, 61, 56, 67, 54, 59, 59, 65, 65, 44, 47, 52, 21, 68, 40, 60, 60, 64, 55, 55, 76, 57, 57, 73, 63, 75, 75, 77, 47, 47, 34, 48, 48, 64, 64, 30, 90, 90, 54, 18, 80, 77, 51, 51, 29, 48, 48, 58, 58, 67, 67, 62, 35, 46, 41, 41, 43, 54, 52, 52, 45, 45, 31, 31, 68, 68, 70, 54, 54, 41, 42, 42, 82, 59, 59, 58, 58, 35, 35, 72, 54, 54, 37, 37, 27, 80, 61, 76, 67]",54
C4,M,"[70, 47, 60, 69, 69, 75, 77, 66, 62, 47, 73, 51, 43, 43, 63, 32, 53, 53, 62, 64, 64, 73, 64, 49, 49, 61, 69, 69, 60, 76, 75, 75, 36, 69, 69, 77, 77, 50]",61
C4,F,"[51, 52, 76, 66, 66, 64, 64, 33, 33, 48, 48, 87, 64, 63, 63, 42, 69, 69, 78, 78, 37, 37, 37, 69, 62, 58, 58, 51, 68, 68, 78, 21, 65, 68, 47, 55, 55, 32, 68, 80, 29, 58, 74, 74, 68, 68, 70, 68, 64, 44, 44, 48, 48, 41, 60, 64, 27, 76, 48]",57
C5,M,"[70, 63, 74, 73, 64, 70, 57, 57, 64, 33, 64, 82, 53, 52, 45, 19, 36, 50]",57
C5,F,"[55, 55, 64, 71, 50, 64, 59, 76, 70, 52, 67, 67, 61, 68, 32, 32, 78, 41, 61, 61, 44, 62, 71, 71, 58, 43, 52, 68, 44, 25, 63, 48, 48, 81, 78]",58
C6,M,"[52, 58, 77, 44, 75, 77, 55, 47, 64, 73, 56, 48, 48, 48, 53, 46, 54, 51, 51, 51, 43, 43, 48, 48, 63, 63, 43, 55, 60, 53, 78, 70, 36, 85, 85, 53, 43, 61, 59, 69, 46, 75, 54, 29, 58, 59, 77, 70, 58, 66, 68, 36, 52, 60, 38, 38, 19, 33, 28, 52, 55, 55, 68, 72, 81, 49, 56, 36, 53, 53, 82, 35, 36, 62, 50, 51, 67, 67, 42, 30, 30, 50, 48, 58, 47, 49, 21, 51, 55, 42, 63, 72, 72, 56, 57, 57, 75]",54
C6,F,"[54, 54, 46, 50, 81, 73, 73, 45, 45, 66, 66, 44, 76, 35, 52, 84, 60, 62, 36, 34, 75, 72, 77, 77, 71, 71, 34, 69, 34, 51, 78, 78, 64, 69, 69, 73, 70, 70, 50, 59, 50, 50, 54, 56, 76, 81, 70, 51, 35, 69, 52, 54, 60, 46, 44, 71, 72, 63, 64, 76, 61, 68, 75, 62, 32, 74, 30, 43, 29, 90, 64, 57, 75, 75, 31, 31, 44, 46, 58, 44, 35, 46, 32, 70, 64, 72, 25, 64, 81, 80, 88, 60, 81, 43, 77, 56, 76, 26, 48]",59
