ceap,sexe,count,mean,std,min,25%,50%,75%,max
NA,M,52,53,15,17,44,53,60,82
NA,F,53,57,18,18,44,56,74,88
C0,M,31,57,15,19,50,56,66,82
C0,F,36,55,17,29,40,58,69,81
C1,M,5,54,20,25,44,61,64,77
C1,F,6,54,7,46,50,51,58,63
C2,M,44,55,15,19,46,57,66,82
C2,F,54,56,17,29,37,60,71,81
C3,M,93,60,15,17,52,63,73,85
C3,F,156,55,15,14,45,55,64,90
C4,M,38,62,12,32,52,64,70,77
C4,F,59,58,15,21,48,63,68,87
C5,M,18,57,16,19,50,60,68,82
C5,F,35,58,14,25,49,61,68,81
C6,M,97,55,14,19,47,54,63,85
C6,F,99,59,16,25,46,62,72,90
